Date,Blast_No,No_of_Holes,Explosion,Per_Hole,Depth,No_of_Rows,Spacing,Seam_location,Vibrometer,Distance,PPV,Blast_Timing,Frequency,Q,TQ,SD,SD_TQ,Stemming,Ch_length,log_PPV,log_SD,log_SD_TQ,log_D,log_Q,log_TQ,log_N,log_Depth,Source,Zone
31.10.25,1.0,100.0,350.0,35.0,6.0,4.0,5.0,Seam Top -5,20697.0,400.0,4.826,2:30pm ,6.75,35.0,3500.0,67.61234037828133,6.761234037828133,4.0,2.0,1.5740179672028398,4.213790516363275,1.9112054233692293,5.991464547107982,3.555348061489413,8.160518247477505,4.605170185988092,1.791759469228055,Real,Real
31.10.25,1.0,100.0,350.0,35.0,6.0,4.0,5.0,Seam Top -5,20698.0,430.0,5.28,2:30pm ,7.875,35.0,3500.0,72.68326590665242,7.268326590665243,4.0,2.0,1.6639260977181702,4.286111177942901,1.983526084948856,6.063785208687608,3.555348061489413,8.160518247477505,4.605170185988092,1.791759469228055,Real,Real
31.10.25,1.0,100.0,350.0,35.0,6.0,4.0,5.0,Seam Top -5,15336.0,480.0,13.28,2:30pm ,9.125,35.0,3500.0,81.1348084539376,8.11348084539376,4.0,2.0,2.586259144048288,4.39611207315723,2.093526980163184,6.173786103901937,3.555348061489413,8.160518247477505,4.605170185988092,1.791759469228055,Real,Real
01.11.25,2.0,45.0,65.0,35.0,3.0,3.0,5.0,Seam-3,20697.0,310.0,8.818,"2:30,2:45",27.0,35.0,1575.0,52.39956379316803,7.81126577552403,2.0,1.0,2.176795086935746,3.958898266734485,2.055567021849325,5.736572297479191,3.555348061489413,7.362010551259734,3.80666248977032,1.0986122886681098,Real,Real
01.11.25,2.0,45.0,65.0,35.0,5.0,3.0,5.0,Seam-3,20698.0,320.0,17.34,"2:30,2:45",10.63,35.0,1575.0,54.08987230262506,8.063242090863515,3.333333333333333,1.6666666666666663,2.853015971352396,3.9906469650490655,2.087315720163905,5.768320995793772,3.555348061489413,7.362010551259734,3.80666248977032,1.6094379124341005,Real,Real
01.11.25,2.0,45.0,65.0,35.0,5.0,3.0,5.0,Seam-3,15336.0,450.0,3.543,"2:30,2:45",6.25,35.0,1575.0,76.06388292556649,11.338934190276817,3.333333333333333,1.6666666666666663,1.264973825883335,4.331573552019658,2.4282423071344987,6.1092475827643655,3.555348061489413,7.362010551259734,3.80666248977032,1.6094379124341005,Real,Real
01.11.25,2.0,45.0,65.0,35.0,5.0,3.0,5.0,Seam-3,23314.0,180.0,7.24,"2:30,2:45",24.63,35.0,1575.0,30.4255531702266,4.535573676110727,3.333333333333333,1.6666666666666663,1.979621206397625,3.4152828201455034,1.5119515752603438,5.19295685089021,3.555348061489413,7.362010551259734,3.80666248977032,1.6094379124341005,Real,Real
02.11.25,1.0,70.0,32.0,90.0,6.0,5.0,5.0,Seam Top -5,20697.0,250.0,2.009,"02:36,2:38",28.88,90.0,6300.0,26.352313834736496,3.14970394174356,4.0,2.0,0.6976370858327973,3.271556082697114,1.1473084616724345,5.521460917862246,4.499809670330265,8.748304912379623,4.248495242049359,1.791759469228055,Real,Real
02.11.25,1.0,70.0,32.0,90.0,6.0,5.0,5.0,Seam Top -5,20698.0,280.0,4.326,"02:36,2:38",14.25,90.0,6300.0,29.514591494904877,3.5276684147527875,4.0,2.0,1.4646433275308668,3.384884768004117,1.2606371469794375,5.634789603169249,4.499809670330265,8.748304912379623,4.248495242049359,1.791759469228055,Real,Real
02.11.25,1.0,70.0,32.0,90.0,6.0,5.0,5.0,Seam Top -5,15335.0,300.0,2.958,"02:36,2:38",8.125,90.0,6300.0,31.622776601683796,3.779644730092272,4.0,2.0,1.084513364288608,3.4538776394910684,1.329630018466389,5.703782474656201,4.499809670330265,8.748304912379623,4.248495242049359,1.791759469228055,Real,Real
02.11.25,1.0,70.0,32.0,90.0,6.0,5.0,5.0,Seam Top -5,15336.0,430.0,3.175,"02:36,2:38",28.75,90.0,6300.0,45.32597979574677,5.417490779798924,4.0,2.0,1.155307632344655,3.8138803735224753,1.689632752497796,6.063785208687608,4.499809670330265,8.748304912379623,4.248495242049359,1.791759469228055,Real,Real
03.11.25,1.0,100.0,250.0,25.0,6.0,4.0,4.5,Seam 4 Floor ,20697.0,450.0,1.637,02:08:00,6.5,25.0,2500.0,90.0,9.0,4.0,2.0,0.4928652983889979,4.499809670330265,2.19722457733622,6.1092475827643655,3.218875824868201,7.824046010856293,4.605170185988092,1.791759469228055,Real,Real
03.11.25,1.0,100.0,250.0,25.0,6.0,4.0,4.5,Seam 4 Floor ,20698.0,430.0,3.791,02:08:00,6.0,25.0,2500.0,86.0,8.6,4.0,2.0,1.3326298365341978,4.454347296253507,2.151762203259462,6.063785208687608,3.218875824868201,7.824046010856293,4.605170185988092,1.791759469228055,Real,Real
03.11.25,1.0,100.0,250.0,25.0,6.0,4.0,4.5,Seam 4 Floor ,15335.0,450.0,3.753,02:08:00,6.25,25.0,2500.0,90.0,9.0,4.0,2.0,1.3225555201528838,4.499809670330265,2.19722457733622,6.1092475827643655,3.218875824868201,7.824046010856293,4.605170185988092,1.791759469228055,Real,Real
03.11.25,1.0,100.0,250.0,25.0,6.0,4.0,4.5,Seam 4 Floor ,23314.0,400.0,3.331,02:08:00,10.63,25.0,2500.0,80.0,8.0,4.0,2.0,1.2032725592115423,4.382026634673881,2.079441541679836,5.991464547107982,3.218875824868201,7.824046010856293,4.605170185988092,1.791759469228055,Real,Real
04.11.25,1.0,90.0,250.0,33.0,4.5,3.0,4.0,Seam 5 Floor ,20697.0,450.0,1.829,03:14:00,5.75,33.0,2970.0,78.33494518006403,8.257228238447704,3.0,1.5,0.6037693694087286,4.360993802031126,2.1110889668659927,6.1092475827643655,3.49650756146648,7.996317231796745,4.499809670330265,1.5040773967762742,Real,Real
04.11.25,1.0,90.0,250.0,33.0,4.5,3.0,4.0,Seam 5 Floor ,20698.0,470.0,1.576,03:14:00,19.88,33.0,2970.0,81.81649829917798,8.624216160156491,3.0,1.5,0.4548899914356874,4.404478913970864,2.1545740788057315,6.152732694704104,3.49650756146648,7.996317231796745,4.499809670330265,1.5040773967762742,Real,Real
04.11.25,1.0,90.0,250.0,33.0,4.5,3.0,4.0,Seam 5 Floor ,15335.0,420.0,1.824,03:14:00,7.625,33.0,2970.0,73.1126155013931,7.706746355884524,3.0,1.5,0.6010318916521397,4.292000930544174,2.042096095379041,6.040254711277414,3.49650756146648,7.996317231796745,4.499809670330265,1.5040773967762742,Real,Real
04.11.25,1.0,90.0,250.0,33.0,4.5,3.0,4.0,Seam 5 Floor ,23314.0,430.0,1.964,03:14:00,5.75,33.0,2970.0,74.85339206095007,7.890240316738917,3.0,1.5,0.6749832099322741,4.315531427954369,2.0656265927892354,6.063785208687608,3.49650756146648,7.996317231796745,4.499809670330265,1.5040773967762742,Real,Real
05.11.25,2.0,80.0,3600.0,43.0,5.0,3.0,5.0,Seam Top -3,20697.0,510.0,1.979,3:25pm,5.75,43.0,3440.0,77.77427086962838,8.695427828248537,3.333333333333333,1.6666666666666663,0.6825916666204287,4.35381066787159,2.1627973505346496,6.234410725718371,3.7612001156935615,8.143226750367443,4.382026634673881,1.6094379124341005,Real,Real
05.11.25,2.0,80.0,3600.0,43.0,5.0,3.0,5.0,Seam Top -3,20698.0,480.0,2.31,3:25pm,5.375,43.0,3440.0,73.19931375965024,8.183932073645682,3.333333333333333,1.6666666666666663,0.8372475245337022,4.293186046055156,2.1021727287182146,6.173786103901937,3.7612001156935615,8.143226750367443,4.382026634673881,1.6094379124341005,Real,Real
05.11.25,2.0,80.0,3600.0,43.0,5.0,3.0,5.0,Seam Top -3,15335.0,460.0,2.994,3:25pm,3.0,43.0,3440.0,70.14934235299815,7.842934903910446,3.333333333333333,1.6666666666666663,1.0966102859974367,4.25062643163636,2.059613114299419,6.131226489483141,3.7612001156935615,8.143226750367443,4.382026634673881,1.6094379124341005,Real,Real
05.11.25,2.0,80.0,3600.0,43.0,5.0,3.0,5.0,Seam Top -3,15336.0,430.0,5.061,3:25pm,2.75,43.0,3440.0,65.57438524302,7.33143914930759,3.333333333333333,1.6666666666666663,1.6215640922319408,4.183185150840827,1.992171833503886,6.063785208687608,3.7612001156935615,8.143226750367443,4.382026634673881,1.6094379124341005,Real,Real
05.11.25,2.0,80.0,3600.0,43.0,5.0,3.0,5.0,Seam Top -3,23314.0,420.0,7.377,3:25pm,2.75,43.0,3440.0,64.04939953969397,7.160940564439972,3.333333333333333,1.6666666666666663,1.9983670519021648,4.159654653430633,1.968641336093692,6.040254711277414,3.7612001156935615,8.143226750367443,4.382026634673881,1.6094379124341005,Real,Real
06.11.25,1.0,104.0,3600.0,50.0,4.0,7.0,4.0,Seam 3 floor ,20697.0,460.0,1.693,2:16pm,5.375,50.0,5200.0,65.05382386916237,6.379052256590135,2.6666666666666665,1.3333333333333333,0.5265021031509983,4.175214986769068,1.853019537198381,6.131226489483141,3.912023005428146,8.556413904569519,4.6443908991413725,1.3862943611198906,Real,Real
06.11.25,1.0,104.0,3600.0,50.0,4.0,7.0,4.0,Seam 3 floor ,20698.0,480.0,1.354,2:16pm,3.375,50.0,5200.0,67.88225099390856,6.65640235470275,2.6666666666666665,1.3333333333333333,0.3030631744900833,4.217774601187863,1.8955791516171772,6.173786103901937,3.912023005428146,8.556413904569519,4.6443908991413725,1.3862943611198906,Real,Real
06.11.25,1.0,104.0,3600.0,50.0,4.0,7.0,4.0,Seam 3 floor ,15335.0,480.0,1.405,2:16pm,8.375,50.0,5200.0,67.88225099390856,6.65640235470275,2.6666666666666665,1.3333333333333333,0.3400373027857091,4.217774601187863,1.8955791516171772,6.173786103901937,3.912023005428146,8.556413904569519,4.6443908991413725,1.3862943611198906,Real,Real
06.11.25,1.0,104.0,3600.0,50.0,4.0,7.0,4.0,Seam 3 floor ,15336.0,470.0,1.69,2:16pm,4.75,50.0,5200.0,66.46803743153546,6.517727305646442,2.6666666666666665,1.3333333333333333,0.5247285289349821,4.196721191990031,1.8745257424193449,6.152732694704104,3.912023005428146,8.556413904569519,4.6443908991413725,1.3862943611198906,Real,Real
06.11.25,1.0,104.0,3600.0,50.0,4.0,7.0,4.0,Seam 3 floor ,23314.0,450.0,1.796,2:16pm,5.125,50.0,5200.0,63.63961030678927,6.240377207533828,2.6666666666666665,1.3333333333333333,0.5855619698800079,4.153236080050292,1.831040630479606,6.1092475827643655,3.912023005428146,8.556413904569519,4.6443908991413725,1.3862943611198906,Real,Real
