Step,Blast_No,Reference_Rows_Before,Reference_Rows_After,Distance,Q,SD,PPV_Actual,PPV_EWMA_Predicted,Absolute_Error_mm_s,Percentage_Error_pct,Newest_Sample_Weight,Effective_N
1,45,44,45,410.96056983613477,34.65433924707204,69.81059565481952,1.6722,4.9928,3.3206,198.58,0.068989,28.66
2,46,45,46,434.91112362222344,36.572926069954306,71.91519487123257,1.5746,2.3096,0.735,46.68,0.084237,27.51
3,47,46,47,442.81467088101584,31.78972545830981,78.53777843445957,1.4816,3.2151,1.7335,117.01,0.100975,25.27
4,48,47,48,436.9183819747613,28.258966204971582,82.19060582834867,1.2097,8.1372,6.9275,572.69,0.118658,22.31
5,49,48,49,435.3857892804591,28.53627267924625,81.50338133363962,1.3401,1.5019,0.1618,12.07,0.136599,19.2
6,50,49,50,433.16530993370634,33.16696814051859,75.21436304991211,1.3921,2.7215,1.3294,95.49,0.154071,16.39
7,51,50,51,440.67167307376343,28.267792830819154,82.88371038258757,1.3583,1.2858,0.0726,5.34,0.170419,14.08
8,52,51,52,444.28389368510454,27.51503359184593,84.69846617763442,1.4145,1.5996,0.1851,13.08,0.185154,12.28
9,53,52,53,453.4073131599261,25.0,90.68146263198523,1.2406,1.6295,0.3889,31.34,0.197993,10.92
10,54,53,54,470.7793074298775,27.328200297790495,90.05583339168014,1.2897,1.5392,0.2495,19.35,0.208855,9.91
11,55,54,55,470.02921657573404,26.864052856130954,90.68575801102627,1.3167,1.2902,0.0264,2.01,0.217817,9.16
12,56,55,56,474.16509511677003,29.372885100861012,87.489569131619,1.4048,1.3145,0.0903,6.43,0.22506,8.6
13,57,56,57,478.73518264745064,33.28449424039603,82.9801784046367,1.3061,2.1091,0.803,61.48,0.230817,8.19
14,58,57,58,484.8363119658767,28.315571953893798,91.11344544665168,1.1259,1.3147,0.1889,16.77,0.235331,7.89
15,59,58,59,480.1343887311584,27.061179344932455,92.29739694945644,1.2008,1.1641,0.0367,3.06,0.238835,7.66
16,60,59,60,486.2993193233349,29.482791821264676,89.56108757375605,1.0693,1.2622,0.1929,18.04,0.241531,7.5
17,61,60,61,494.8527626481098,30.1354300017144,90.14409910671321,1.1518,1.2432,0.0914,7.94,0.243594,7.37
18,62,61,62,495.74018844978855,28.129736828660352,93.46979560225691,1.1483,1.131,0.0173,1.5,0.245165,7.28
19,63,62,63,503.83079313846173,27.943622039244936,95.3110728126382,1.3418,1.1758,0.1661,12.38,0.246356,7.21
20,64,63,64,506.5224615610883,28.697490395078965,94.55331271997495,1.1833,1.1377,0.0456,3.85,0.247257,7.16
